"id","Postcode","Latitude","Longitude","Easting","Northing","GridRef","District","Ward","DistrictCode","WardCode","Country","CountyCode","Constituency","TypeArea"
1,"AB1 0AA",57.101478,-2.242852,385386,801193,"NJ853011","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
2,"AB1 0AB",57.102558,-2.246309,385177,801314,"NJ851013","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
3,"AB1 0AD",57.10056,-2.248342,385053,801092,"NJ850010","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
4,"AB1 0AE",57.084447,-2.255708,384600,799300,"NO846993","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
5,"AB1 0AF",57.096659,-2.258103,384460,800660,"NJ844006","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
6,"AB1 0AG",57.097089,-2.267513,383890,800710,"NJ838007","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
7,"AB1 0AJ",57.099015,-2.252854,384779,800921,"NJ847009","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
8,"AB1 0AL",57.101769,-2.254688,384669,801228,"NJ846012","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
9,"AB1 0AN",57.097556,-2.245483,385225,800757,"NJ852007","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
10,"AB1 0AP",57.098247,-2.245768,385208,800834,"NJ852008","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
11,"AB1 0AQ",57.098557,-2.252504,384800,800870,"NJ848008","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
12,"AB1 0AR",57.09136,-2.224832,386474,800063,"NJ864000","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
13,"AB1 0AS",57.083842,-2.234438,385889,799228,"NO858992","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
14,"AB1 0AT",57.089303,-2.239769,385568,799837,"NO855998","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
15,"AB1 0AX",57.095683,-2.24788,385079,800549,"NJ850005","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
16,"AB1 0BA",57.090699,-2.255867,384593,799996,"NO845999","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
17,"AB1 0BB",57.086319,-2.258592,384426,799509,"NO844995","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
18,"AB1 0BD",57.079129,-2.268852,383801,798711,"NO838987","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
19,"AB1 0BE",57.090615,-2.257483,384495,799987,"NO844999","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
20,"AB1 0BJ",57.081424,-2.262319,384198,798965,"NO841989","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
21,"AB1 0BL",57.081941,-2.246568,385153,799019,"NO851990","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
22,"AB1 0BN",57.069315,-2.258012,384454,797616,"NO844976","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
23,"AB1 0BP",57.067255,-2.272212,383592,797390,"NO835973","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
24,"AB1 0BQ",57.067838,-2.284733,382833,797458,"NO828974","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
25,"AB1 0BR",57.062166,-2.278342,383218,796825,"NO832968","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
26,"AB1 0BS",57.051405,-2.265256,384007,795624,"NO840956","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
27,"AB1 0BT",57.057096,-2.250046,384932,796254,"NO849962","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
28,"AB1 0BX",57.069305,-2.235583,385814,797610,"NO858976","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
29,"AB1 0BY",57.082284,-2.236671,385753,799055,"NO857990","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
30,"AB1 0BZ",57.082729,-2.238588,385637,799105,"NO856991","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
31,"AB1 0DA",57.064198,-2.228427,386246,797040,"NO862970","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
32,"AB1 0DB",57.070239,-2.244907,385249,797716,"NO852977","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
33,"AB1 0DD",57.097814,-2.228007,386284,800782,"NJ862007","Aberdeenshire","North Kincardine"," S12000034","S13002505","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
34,"AB1 0DJ",57.102797,-2.243454,385350,801340,"NJ853013","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
35,"AB1 0DL",57.101478,-2.242852,385386,801193,"NJ853011","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
36,"AB1 0DN",57.101897,-2.239883,385566,801239,"NJ855012","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
37,"AB1 0DP",57.101386,-2.238956,385622,801182,"NJ856011","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
38,"AB1 0DQ",57.103208,-2.239743,385575,801385,"NJ855013","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
39,"AB1 0DR",57.104582,-2.235642,385824,801537,"NJ858015","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
40,"AB1 0DS",57.105427,-2.234954,385866,801631,"NJ858016","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
41,"AB1 0DT",57.10552,-2.233683,385943,801641,"NJ859016","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
42,"AB1 0DU",57.106631,-2.234747,385879,801765,"NJ858017","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
43,"AB1 0DX",57.106394,-2.231955,386048,801738,"NJ860017","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
44,"AB1 0DY",57.101381,-2.241531,385466,801182,"NJ854011","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
45,"AB1 0EA",57.106107,-2.231689,386064,801706,"NJ860017","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
46,"AB1 0EB",57.107174,-2.233,385985,801825,"NJ859018","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
47,"AB1 0ED",57.106887,-2.232619,386008,801793,"NJ860017","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
48,"AB1 0EE",57.107664,-2.230246,386152,801879,"NJ861018","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
49,"AB1 0EF",57.109093,-2.239203,385610,802040,"NJ856020","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
50,"AB1 0EH",57.107012,-2.237622,385705,801808,"NJ857018","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
51,"AB1 0EJ",57.108255,-2.240618,385524,801947,"NJ855019","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
52,"AB1 0EL",57.110386,-2.244396,385296,802185,"NJ852021","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
53,"AB1 0EN",57.10478,-2.240001,385560,801560,"NJ855015","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
54,"AB1 0EP",57.104542,-2.246883,385143,801535,"NJ851015","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
55,"AB1 0EQ",57.108525,-2.258647,384432,801981,"NJ844019","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
56,"AB1 0ER",57.115959,-2.255892,384602,802808,"NJ846028","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
57,"AB1 0ES",57.123897,-2.274709,383466,803696,"NJ834036","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
58,"AB1 0ET",57.114643,-2.24946,384991,802660,"NJ849026","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
59,"AB1 0EU",57.103944,-2.240227,385546,801467,"NJ855014","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
60,"AB1 0EW",57.106772,-2.2362,385791,801781,"NJ857017","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
61,"AB1 0EX",57.12169,-2.242538,385413,803443,"NJ854034","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
62,"AB1 0HA",57.10269,-2.238485,385651,801327,"NJ856013","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
63,"AB1 0HB",57.102776,-2.235597,385826,801336,"NJ858013","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
64,"AB1 0HD",57.103741,-2.233705,385941,801443,"NJ859014","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
65,"AB1 0HJ",57.104809,-2.233992,385924,801562,"NJ859015","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
66,"AB1 0HL",57.1064,-2.228538,386255,801738,"NJ862017","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
67,"AB1 0HN",57.107547,-2.225293,386452,801865,"NJ864018","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
68,"AB1 0HP",57.108141,-2.229688,386186,801932,"NJ861019","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
69,"AB1 0HQ",57.11,-2.224961,386473,802138,"NJ864021","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
70,"AB1 0HR",57.10814,-2.225082,386465,801931,"NJ864019","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
71,"AB1 0HS",57.112646,-2.222104,386647,802432,"NJ866024","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
72,"AB1 0HT",57.106974,-2.219214,386820,801800,"NJ868018","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
73,"AB1 0HU",57.10764,-2.233317,385966,801877,"NJ859018","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
74,"AB1 0HX",57.112536,-2.218603,386859,802419,"NJ868024","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
