"id","datetimes","monthname","yearnumber","monthnumber","daynumber","hournumber","minutenumber","ampm"
1,"2015/01/01 00:00","January",2015,1,1,0,0,"AM"
2,"2015/01/01 00:01","January",2015,1,1,0,1,"AM"
3,"2015/01/01 00:02","January",2015,1,1,0,2,"AM"
4,"2015/01/01 00:03","January",2015,1,1,0,3,"AM"
5,"2015/01/01 00:04","January",2015,1,1,0,4,"AM"
6,"2015/01/01 00:05","January",2015,1,1,0,5,"AM"
7,"2015/01/01 00:06","January",2015,1,1,0,6,"AM"
8,"2015/01/01 00:07","January",2015,1,1,0,7,"AM"
9,"2015/01/01 00:08","January",2015,1,1,0,8,"AM"
10,"2015/01/01 00:09","January",2015,1,1,0,9,"AM"
11,"2015/01/01 00:10","January",2015,1,1,0,10,"AM"
12,"2015/01/01 00:11","January",2015,1,1,0,11,"AM"
13,"2015/01/01 00:12","January",2015,1,1,0,12,"AM"
14,"2015/01/01 00:13","January",2015,1,1,0,13,"AM"
15,"2015/01/01 00:14","January",2015,1,1,0,14,"AM"
16,"2015/01/01 00:15","January",2015,1,1,0,15,"AM"
17,"2015/01/01 00:16","January",2015,1,1,0,16,"AM"
18,"2015/01/01 00:17","January",2015,1,1,0,17,"AM"
19,"2015/01/01 00:18","January",2015,1,1,0,18,"AM"
20,"2015/01/01 00:19","January",2015,1,1,0,19,"AM"
21,"2015/01/01 00:20","January",2015,1,1,0,20,"AM"
22,"2015/01/01 00:21","January",2015,1,1,0,21,"AM"
23,"2015/01/01 00:22","January",2015,1,1,0,22,"AM"
24,"2015/01/01 00:23","January",2015,1,1,0,23,"AM"
25,"2015/01/01 00:24","January",2015,1,1,0,24,"AM"
26,"2015/01/01 00:25","January",2015,1,1,0,25,"AM"
27,"2015/01/01 00:26","January",2015,1,1,0,26,"AM"
28,"2015/01/01 00:27","January",2015,1,1,0,27,"AM"
29,"2015/01/01 00:28","January",2015,1,1,0,28,"AM"
30,"2015/01/01 00:29","January",2015,1,1,0,29,"AM"
31,"2015/01/01 00:30","January",2015,1,1,0,30,"AM"
32,"2015/01/01 00:31","January",2015,1,1,0,31,"AM"
33,"2015/01/01 00:32","January",2015,1,1,0,32,"AM"
34,"2015/01/01 00:33","January",2015,1,1,0,33,"AM"
35,"2015/01/01 00:34","January",2015,1,1,0,34,"AM"
36,"2015/01/01 00:35","January",2015,1,1,0,35,"AM"
37,"2015/01/01 00:36","January",2015,1,1,0,36,"AM"
38,"2015/01/01 00:37","January",2015,1,1,0,37,"AM"
39,"2015/01/01 00:38","January",2015,1,1,0,38,"AM"
40,"2015/01/01 00:39","January",2015,1,1,0,39,"AM"
41,"2015/01/01 00:40","January",2015,1,1,0,40,"AM"
42,"2015/01/01 00:41","January",2015,1,1,0,41,"AM"
43,"2015/01/01 00:42","January",2015,1,1,0,42,"AM"
44,"2015/01/01 00:43","January",2015,1,1,0,43,"AM"
45,"2015/01/01 00:44","January",2015,1,1,0,44,"AM"
46,"2015/01/01 00:45","January",2015,1,1,0,45,"AM"
47,"2015/01/01 00:46","January",2015,1,1,0,46,"AM"
48,"2015/01/01 00:47","January",2015,1,1,0,47,"AM"
49,"2015/01/01 00:48","January",2015,1,1,0,48,"AM"
50,"2015/01/01 00:49","January",2015,1,1,0,49,"AM"
51,"2015/01/01 00:50","January",2015,1,1,0,50,"AM"
52,"2015/01/01 00:51","January",2015,1,1,0,51,"AM"
53,"2015/01/01 00:52","January",2015,1,1,0,52,"AM"
54,"2015/01/01 00:53","January",2015,1,1,0,53,"AM"
55,"2015/01/01 00:54","January",2015,1,1,0,54,"AM"
56,"2015/01/01 00:55","January",2015,1,1,0,55,"AM"
57,"2015/01/01 00:56","January",2015,1,1,0,56,"AM"
58,"2015/01/01 00:57","January",2015,1,1,0,57,"AM"
59,"2015/01/01 00:58","January",2015,1,1,0,58,"AM"
60,"2015/01/01 00:59","January",2015,1,1,0,59,"AM"
61,"2015/01/01 01:00","January",2015,1,1,1,0,"AM"
62,"2015/01/01 01:01","January",2015,1,1,1,1,"AM"
63,"2015/01/01 01:02","January",2015,1,1,1,2,"AM"
64,"2015/01/01 01:03","January",2015,1,1,1,3,"AM"
65,"2015/01/01 01:04","January",2015,1,1,1,4,"AM"
66,"2015/01/01 01:05","January",2015,1,1,1,5,"AM"
67,"2015/01/01 01:06","January",2015,1,1,1,6,"AM"
68,"2015/01/01 01:07","January",2015,1,1,1,7,"AM"
69,"2015/01/01 01:08","January",2015,1,1,1,8,"AM"
70,"2015/01/01 01:09","January",2015,1,1,1,9,"AM"
71,"2015/01/01 01:10","January",2015,1,1,1,10,"AM"
72,"2015/01/01 01:11","January",2015,1,1,1,11,"AM"
73,"2015/01/01 01:12","January",2015,1,1,1,12,"AM"
74,"2015/01/01 01:13","January",2015,1,1,1,13,"AM"
75,"2015/01/01 01:14","January",2015,1,1,1,14,"AM"
76,"2015/01/01 01:15","January",2015,1,1,1,15,"AM"
77,"2015/01/01 01:16","January",2015,1,1,1,16,"AM"
78,"2015/01/01 01:17","January",2015,1,1,1,17,"AM"
